,userid,placeid,category_id,category_name,lat,lon,timezone,datetime,LZ_entropy,Pi,mean_ent,median_ent,std_ent,count_ent,nunique_ent,mean_Pi,median_Pi,std_Pi,count_Pi,nunique_Pi
0,114,4b3eae5cf964a520b4a025e3,4bf58dd8d48988d129951735,Commute,35.7002526276856,139.480254650116,540,2012-04-03 19:35:36,4.221414678071268,0.4960419408688109,3.645905632548522,3.710525164614255,0.8957814047303665,765,100,0.5888594832848555,0.6197621658574431,0.10462127125683529,765,100
1,589,4b5ed39cf964a520079a29e3,4bf58dd8d48988d1eb931735,Airport,35.548963430423896,139.78461140749,540,2012-04-03 19:59:06,4.067222386718394,0.5751138197559388,4.121600585726705,4.06090767026625,0.9409921000201695,372,150,0.5289802071130723,0.5520353028852214,0.11323806398223189,372,150
2,589,4d69a46cde28224b27ff45be,4bf58dd8d48988d1df941735,Bridge,35.609929431854,139.825658798218,540,2012-04-03 20:09:41,4.067222386718394,0.5751138197559388,4.401142560450479,4.655861802085896,1.0823917063303614,78,51,0.5084412184364153,0.4998066523120443,0.11420731827681575,78,51
3,2290,4b6e3e46f964a520e2b32ce3,4bf58dd8d48988d129951735,Commute,35.7290254271454,139.711096286774,540,2012-04-03 20:28:32,4.826863382739909,0.46423887797506547,3.546581115185002,3.670794494277299,0.9696492858615248,821,87,0.6280245106941442,0.6307456316564549,0.12200872222770957,821,87
4,265,4b3b5742f964a520ad7225e3,4bf58dd8d48988d129951735,Commute,35.5531997280115,139.646814465523,540,2012-04-03 20:30:32,3.6313404941156673,0.5954562602181286,3.7980175820192477,3.7610574443506275,0.8160263843338035,579,79,0.5796276542877615,0.5795462552928012,0.0831350633066201,579,79
5,159,4b243a7df964a520356424e3,4bf58dd8d48988d129951735,Commute,35.7298646364518,139.710955572752,540,2012-04-03 20:33:55,4.184512295369311,0.5428287944627902,3.780412915291077,3.820971940634384,0.9667414615863653,6046,586,0.5877835859233765,0.5887516245121661,0.11335024780689155,6046,588
6,589,4b4162b1f964a52016c625e3,4bf58dd8d48988d129951735,Commute,35.645923622994,139.826924800873,540,2012-04-03 20:34:39,4.067222386718394,0.5751138197559388,4.157702257476123,4.280856351139515,0.8778568922235014,682,232,0.5413193243968911,0.5457332091559761,0.10603676601014055,682,232
7,2290,4b678b3bf964a52090542be3,4bf58dd8d48988d129951735,Commute,35.7302273343619,139.71116065978998,540,2012-04-03 20:37:17,4.826863382739909,0.46423887797506547,3.8820839753222085,3.670794494277299,0.9206138623995288,384,108,0.5664009649592959,0.5698531740936543,0.11510502043428264,384,108
8,114,4b0587a6f964a5203e9e22e3,4bf58dd8d48988d129951735,Commute,35.681378722279604,139.766081571579,540,2012-04-03 20:43:04,4.221414678071268,0.4960419408688109,3.8179574652261805,3.809775429933599,0.9925758577688604,3829,728,0.5711109798756631,0.5771446376316259,0.11761396809153095,3829,731
9,2290,4b4f2be8f964a52025fc26e3,4bf58dd8d48988d129951735,Commute,35.7379260779029,139.761028289795,540,2012-04-03 20:53:51,4.826863382739909,0.46423887797506547,3.7493806974460058,3.673208284124049,0.7143481886721648,625,109,0.6067736657623619,0.6454434187692542,0.09653225680826229,625,109
10,1390,4b0587a6f964a5203d9e22e3,4bf58dd8d48988d129951735,Commute,35.6908026942302,139.700279226565,540,2012-04-03 21:29:59,2.962954986847322,0.7211114271556451,3.7514448332550305,3.7432591086478784,1.0174378005424192,9756,879,0.5859691463378124,0.5929876978223794,0.11838783642132174,9756,882
11,1056,4b286109f964a520ee9224e3,4bf58dd8d48988d129951735,Commute,35.640042700026704,139.59873855113997,540,2012-04-03 21:29:59,3.3646552878647777,0.6425352977370882,3.580313832706291,3.3646552878647777,0.7845675576121689,434,71,0.6112004884896525,0.64900584572442,0.10282371339096213,434,71
13,1064,4b1fb0dff964a520192824e3,4bf58dd8d48988d129951735,Commute,35.607538078171395,139.668839140824,540,2012-04-03 21:39:35,2.423255445978432,0.7503580244580266,3.6948103518809248,3.6190772582227666,1.1213824173053248,586,149,0.588581121227224,0.5990897794425558,0.13808267162886173,586,149
14,1982,4b5a4723f964a5209eb928e3,4bf58dd8d48988d129951735,Commute,35.6281211979915,139.737981980303,540,2012-04-03 21:42:44,3.0393212130958465,0.653626801764549,3.4753147986165147,3.2196059908627683,0.8947747861577743,1182,181,0.6132556406880205,0.653626801764549,0.10189286475788945,1182,181
15,96,4b5583def964a52032e627e3,4bf58dd8d48988d129951735,Commute,35.736515277886,139.746823310852,540,2012-04-03 21:48:29,4.746841413230773,0.5269369388015879,2.8558144941860824,2.699892124265212,1.0337987064324066,384,64,0.6935020521868198,0.7444822497936134,0.12262643094607004,384,64
17,1967,4b093eeff964a520e51423e3,4bf58dd8d48988d129951735,Commute,35.6585217269512,139.701326034495,540,2012-04-03 21:53:51,2.7082091813280162,0.7327537422327333,4.045765730879174,4.149457623418771,0.8950153215176414,5275,690,0.5520690350547851,0.5540785837226703,0.10747433884045228,5275,692
20,1390,4b4fb4aff964a520c01127e3,4bf58dd8d48988d129951735,Commute,35.620517897343504,139.75081980228398,540,2012-04-03 22:03:22,2.962954986847322,0.7211114271556451,3.4945804868656865,3.002273938661531,0.7991836583243569,256,54,0.6299177926546916,0.6864763429770705,0.11005994484857369,256,54
23,847,4b6a8c00f964a5204fd82be3,4bf58dd8d48988d129951735,Commute,35.6594842792091,139.70020651817302,540,2012-04-03 22:09:32,4.745259263931186,0.447605993829615,3.580734441982975,3.833082673530841,1.1028381772742781,447,96,0.5876502656389773,0.5679902719907591,0.1172659757942397,447,96
24,336,4b544ec2f964a52014b727e3,4bf58dd8d48988d129951735,Commute,35.847680541780704,139.66914921998998,540,2012-04-03 22:10:37,3.0809053703745355,0.7152935270074376,3.634339321516131,3.673208284124049,0.7275320055086627,866,107,0.6114605619428309,0.6454434187692542,0.09454237942906882,866,107
25,610,4b2837d8f964a5200e9124e3,4bf58dd8d48988d129951735,Commute,35.5623872906971,139.715952819215,540,2012-04-03 22:11:46,3.246612603408983,0.6672935776440286,3.360784455462377,3.283550185498357,1.0322062562783576,756,69,0.6282626961990941,0.6409772324130371,0.11265463820988465,756,69
26,1746,4b68b2c8f964a520d0872be3,4bf58dd8d48988d129951735,Commute,35.5749094866339,139.663245677948,540,2012-04-03 22:13:36,2.7920649217399,0.7002287124413028,3.6060845090050786,3.475608290168223,1.0603825863460927,514,75,0.5989150309252379,0.6404511701559579,0.12942336707635,514,75
27,116,4cec9db113aea143694c629f,4bf58dd8d48988d129951735,Commute,35.6071317976143,139.734773873388,540,2012-04-03 22:14:48,3.6190772582227666,0.6491639498703595,3.639005278143952,3.6190772582227666,0.9154180095760102,959,211,0.6010405574996732,0.6365418344927742,0.10666185981442032,959,211
28,187,4b24a8eef964a520466924e3,4bf58dd8d48988d129951735,Commute,35.603753633567294,139.507591724396,540,2012-04-03 22:15:43,3.476167875693874,0.6403170857192769,3.4508567467935527,3.476167875693874,0.9359505356404574,921,94,0.6194154863063472,0.6403170857192769,0.09405744387871474,921,94
29,722,4b24aa1ff964a520506924e3,4bf58dd8d48988d129951735,Commute,35.704621918699296,139.619987010956,540,2012-04-03 22:15:46,3.6126902058603765,0.5641894059914405,4.112829522139053,3.89212538552409,0.909888684719571,324,81,0.5575194154258132,0.5894931565830768,0.10709363823762569,324,81
30,1928,4b557834f964a52022e527e3,4bf58dd8d48988d129951735,Commute,35.7167875858896,139.858263731003,540,2012-04-03 22:16:39,3.0845701924883606,0.6735838960706868,3.4133793275970707,3.5013551891857575,1.0430175670738082,435,67,0.6224900706460442,0.6013911901580608,0.11331274077548062,435,67
32,1967,4b0587a6f964a520529e22e3,4bf58dd8d48988d1fd941735,Mall,35.660512894632895,139.72921192646,540,2012-04-03 22:20:59,2.7082091813280162,0.7327537422327333,4.045079002570589,4.539775249165639,1.3387606309497924,341,94,0.5638855304952437,0.4740319560744692,0.16304116558826506,341,94
33,1964,4b5ccea3f964a520044529e3,4bf58dd8d48988d129951735,Commute,35.6457318132101,139.747568964958,540,2012-04-03 22:21:53,2.5203935496726673,0.7237044029282585,3.6370822714230373,3.5979130503076955,0.9016461851682999,1412,195,0.5970122822074326,0.6197557484130621,0.10705441531554459,1412,195
35,1961,4b5ef219f964a520569f29e3,4bf58dd8d48988d129951735,Commute,35.727771243756706,139.770963191986,540,2012-04-03 22:29:03,5.916557436673695,0.3126346029987443,3.354849866670171,3.1783438833857014,1.1365071235118105,892,210,0.6352456195897337,0.6547136487354741,0.1478457365416553,892,210
36,1726,4b0587bbf964a5209aa122e3,4bf58dd8d48988d129951735,Commute,35.705375520953005,139.649861454964,540,2012-04-03 22:30:00,2.324162686303407,0.7287442971805741,3.971728350734083,4.246070988641991,0.8977317629208332,798,98,0.5713252314954199,0.5389245465036291,0.09877312537544765,798,98
37,113,4b4327e6f964a5209fdc25e3,4bf58dd8d48988d129951735,Commute,35.6556181358069,139.756742119789,540,2012-04-03 22:30:12,2.8375688039224505,0.7233031881954729,3.6629749248013614,3.670794494277299,0.9671652453744715,1351,270,0.5958912653363677,0.6130976928898956,0.11612471662737134,1351,270
