userid_x,userid_y,group,CE_alter,Pi_alter,N_previous,LZ,Pi
0.0,2.0,useful,7.027791463330526,0.34249760377595106,2098,5.136027486253859,0.5533462292191736
0.0,30.0,useful,7.273597742722726,0.31266882517858835,2077,5.136027486253859,0.5533462292191736
0.0,35.0,useful,8.11097858207581,0.20461821881672912,2089,5.136027486253859,0.5533462292191736
0.0,7.0,useless,9.954590430078035,,1614,5.136027486253859,0.5533462292191736
0.0,29.0,useful,8.48462310067751,0.15175354066927021,1783,5.136027486253859,0.5533462292191736
0.0,40.0,useful,7.846641004725058,0.24000273953384046,553,5.136027486253859,0.5533462292191736
0.0,167.0,useless,10.016303262462174,,2084,5.136027486253859,0.5533462292191736
0.0,11.0,useless,10.055123137942042,,2097,5.136027486253859,0.5533462292191736
0.0,61.0,useful,7.8947751932197265,0.2336611777514551,959,5.136027486253859,0.5533462292191736
0.0,42.0,useful,8.13318729394314,0.2015785169563551,620,5.136027486253859,0.5533462292191736
0.0,23.0,useless,9.76364104341836,,1317,5.136027486253859,0.5533462292191736
0.0,55.0,useful,7.06871219624656,0.33758028625518327,241,5.136027486253859,0.5533462292191736
0.0,1087.0,useful,8.812877051770975,0.10109902231371584,2100,5.136027486253859,0.5533462292191736
0.0,34.0,useful,7.71322307850009,0.25736787336015726,569,5.136027486253859,0.5533462292191736
0.0,124.0,useful,9.251764554761829,0.014959520577844554,809,5.136027486253859,0.5533462292191736
0.0,54.0,useful,6.49418781801646,0.40503324082807773,194,5.136027486253859,0.5533462292191736
0.0,900.0,useful,8.89437055359984,0.08754819983761844,847,5.136027486253859,0.5533462292191736
0.0,1.0,useless,10.040409025987598,,1164,5.136027486253859,0.5533462292191736
0.0,21.0,useless,10.111950311299157,,2096,5.136027486253859,0.5533462292191736
0.0,45.0,useless,9.991872133826654,,2066,5.136027486253859,0.5533462292191736
0.0,49.0,useful,8.767558260260724,0.10842856533723817,1927,5.136027486253859,0.5533462292191736
0.0,39235.0,useful,8.868894775133867,0.0918406268632098,755,5.136027486253859,0.5533462292191736
0.0,13.0,useful,8.464982953704926,0.1546368068902885,1018,5.136027486253859,0.5533462292191736
