userid_x,userid_y,meetup,N_previous,group,Included Rank,Weight,alter_info,CE_alter,CCE_alters,CCE_ego_alter,CCE_ego_alters,Pi_alter,Pi_alters,Pi_ego_alter,Pi_ego_alters,n_meetupers_x,ego_info,LZ_entropy,Pi,n_meetupers_y
0,77.0,21,208,helpful,1,41,7.294620748891627,6.51352983677348,6.51352983677348,5.000950099175214,5.000950099175214,0.1718857006840577,0.1718857006840577,0.4318808374254821,0.4318808374254821,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
0,52.0,20,340,helpful,2,51,7.734709620225838,6.645673038067814,5.8709108924342,5.319778180628222,5.077395126582392,0.14344752275144454,0.29254765437317787,0.38302071902545487,0.42036211462607936,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
0,66.0,19,274,helpful,3,37,6.22881869049588,6.53490952291292,5.663508586034985,5.200187470865979,4.977654226909942,0.16740814767719478,0.3276307315881327,0.40160603075938733,0.43536783939677826,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
0,88.0,15,225,helpful,4,52,7.357552004618084,6.147205482600816,5.453020475693553,5.140645520537525,4.9149321828892605,0.24333487383653188,0.3619160172251373,0.410740855456273,0.4447037482047554,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
0,97.0,15,144,helpful,5,10,6.794415866350106,6.921209384517333,5.430624031002879,5.246534858605466,4.902084073845899,0.07477747124945298,0.36549420479111344,0.3944417454953372,0.4466068239578621,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
0,81.0,14,224,helpful,6,25,7.442943495848728,7.026619429851843,5.2265492523533785,5.09503474509475,4.777316273080475,0.03964370645620122,0.39753694211235135,0.4176872754728243,0.46492772694154394,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
0,15.0,12,150,helpful,7,15,7.0,6.777017522339888,5.1561002398607485,5.185307051334133,4.7234810955721604,0.11287847843090988,0.4083771581746127,0.40389615603847295,0.4727457713543362,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
0,19.0,10,200,helpful,8,59,7.357552004618084,6.034623307716887,4.975396074276327,5.097939615744279,4.650961485144453,0.26377461385429335,0.43570527987327146,0.41724616843488516,0.48319696986270605,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
0,27.0,9,175,helpful,9,12,6.321928094887363,7.073934599840818,4.910768813738697,5.222392300065591,4.620036205738937,0.013447031168881182,0.4453207741428543,0.3981796133615754,0.4876263335389242,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
0,83.0,6,149,helpful,10,5,6.643856189774724,7.071670458093796,4.9054395858368895,5.294124991842077,4.616224551534989,0.015740302167205563,0.44611010401365525,0.387034971547621,0.48817114806832435,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
0,16484.0,4,150,helpful,11,8,7.03342300153745,6.980618907131215,4.8972028361120294,5.22132997376355,4.610287624897111,0.05637606424924171,0.4473290183550522,0.3983437889945219,0.48901924856218265,11,7.076815597050831,5.3114826828514605,0.38432049429888543,11
41,52.0,25,340,helpful,1,31,7.734709620225838,7.812392125184127,7.812392125184127,6.750253193515924,6.750253193515924,0.11846536272148246,0.11846536272148246,0.2882617827259058,0.2882617827259058,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
41,32.0,23,350,helpful,2,19,7.546894459887636,8.067981968336351,7.6122977977063435,6.808194390234711,6.593686906819234,0.0669008152865924,0.15420034762435264,0.2799047969004345,0.31050171344622046,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
41,66.0,17,274,helpful,3,12,6.22881869049588,7.867269716904875,7.543058436499047,6.89988020862206,6.556676424738927,0.1081067879427959,0.16598546564795474,0.2665301370432142,0.31569014515570315,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
41,0.0,15,225,helpful,4,27,7.076815597050831,7.319701350086218,7.183291564462807,6.712793104819846,6.3907971850680045,0.20249378630148535,0.22386703193040677,0.29362731592740343,0.33864494313441573,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
41,19.0,12,200,helpful,5,17,7.357552004618084,7.332236153261126,7.037626148857929,6.766343895361035,6.302011497538492,0.20049787196749017,0.24606125306113338,0.2859481290727922,0.35074129218516586,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
41,27.0,10,175,helpful,6,14,6.321928094887363,7.181890228272124,6.920976579406747,6.8663029863310365,6.2434657921934615,0.22408348716121576,0.263425383997086,0.2714502859715159,0.35864927770145,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
41,122947.0,6,156,helpful,7,7,6.882643049361842,7.160100460798279,6.790006121054053,6.877423104823011,6.156187746774182,0.2274415431096202,0.28253584631965006,0.2698237069376378,0.3703413148084821,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
41,15.0,5,150,helpful,8,2,7.0,7.192854418403861,6.76753727600746,6.9832660983885875,6.1396612794843515,0.22238831082652025,0.2857763183719099,0.2541956295666273,0.3725425322751185,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
41,13.0,4,150,helpful,9,5,7.0,7.139574015304573,6.677656034078279,6.918400072106371,6.0821510876352,0.23059193095971717,0.2986342375115423,0.2638051331821624,0.38017174743295595,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
41,16386.0,4,147,helpful,10,5,7.05528243550119,7.139574015304573,6.659380613853582,6.974533135571736,6.070024283904845,0.23059193095971717,0.3012287333241487,0.2554953964466908,0.38177444976032604,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
41,32779.0,3,175,helpful,11,1,6.614709844115208,7.432629537987361,6.642856889035374,6.991909544822833,6.056919716232765,0.18429710425626808,0.3035689279067177,0.25290729756255115,0.38350404737553245,11,8.271463027904375,7.0132707422107305,0.24971519388106886,11
52,66.0,23,275,helpful,1,32,6.22881869049588,7.2547759960128575,7.2547759960128575,5.77613035386151,5.77613035386151,0.13517193815533712,0.13517193815533712,0.376180046120984,0.376180046120984,11,7.734709620225838,5.89939663953069,0.35842673865262964,11
52,0.0,20,225,helpful,2,66,7.076815597050831,6.423829729317853,6.444943356899114,5.6020960953651535,5.5673796895465735,0.2793279539929329,0.276002235352059,0.40078467795142847,0.4056318395920995,11,7.734709620225838,5.89939663953069,0.35842673865262964,11
52,19.0,16,200,helpful,3,57,7.357552004618084,6.5518767340926205,6.191626914654629,5.634002309610571,5.435675520104743,0.2589590950384273,0.3151300976679762,0.3963124021743384,0.42384570265215943,11,7.734709620225838,5.89939663953069,0.35842673865262964,11
52,15.0,8,150,helpful,4,12,7.0,6.983773989123138,6.12114957606286,5.813793597724205,5.396257589669673,0.1859609913938899,0.32573890445931436,0.37078540218862355,0.4292447275623515,11,7.734709620225838,5.89939663953069,0.35842673865262964,11
52,24623.0,7,200,helpful,5,12,7.285402218862249,7.384742420629818,6.030824321204069,5.791550239070468,5.35480583163824,0.1085156786703904,0.3391758515148363,0.3739745049059998,0.4348971319606983,11,7.734709620225838,5.89939663953069,0.35842673865262964,11
