userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,Pi_alters_ratio,Pi_ego_alters_ratio
2,13.0,1018,347,8.574081911248111,0.09048857096475987,2,1,8.574081911248111,0.09048857096475987,4.4868576692841176,0.6065204393747485,4.4868576692841176,0.6065204393747485,4.5525719460027965,0.5996386083257209,0.04048582995951417,0.04048582995951417,social network,0.15090517806619766,1.0114766310132075
2,47.0,1545,413,8.851722916695802,0.03488169546442105,2,2,8.483595314025157,0.10623216817828904,4.4964647553971036,0.6055162154267859,4.44244593699642,0.6111545115122905,4.5525719460027965,0.5996386083257209,0.048582995951417005,0.07894736842105263,social network,0.17716032073869437,1.0192047393658052
2,169.0,332,24,8.280361642203108,0.13951908608227015,1,3,8.411732492430849,0.11828673560281973,4.538622052338375,0.6011019913738996,4.433285342805337,0.6121086723751108,4.5525719460027965,0.5996386083257209,0.022267206477732792,0.08906882591093117,social network,0.1972633749069188,1.0207959658972061
2,193.0,618,220,8.391893443540871,0.1215551930194976,1,4,8.227269203578043,0.14785380689390235,4.495469845751969,0.6056202424088848,4.394099817820705,0.6161837164764878,4.5525719460027965,0.5996386083257209,0.01417004048582996,0.0931174089068826,social network,0.2465715263177131,1.0275917993288712
2,20.0,231,69,7.601854814544422,0.2388627031381919,0,5,8.140784508628213,0.16117356064179386,4.526770442375323,0.6023441979664982,4.378123567849183,0.6178421307265055,4.5525719460027965,0.5996386083257209,0.024291497975708502,0.10323886639676114,social network,0.26878449520089126,1.0303574889075464
2,55.0,241,30,7.8013878425301515,0.21099392338201828,0,6,8.046479303157824,0.1753766899119479,4.5405441965318465,0.6009004332729198,4.371200320248766,0.6185602572097032,4.5525719460027965,0.5996386083257209,0.024291497975708502,0.1153846153846154,social network,0.2924706439460684,1.031555087716607
2,184.0,370,260,7.591085072328843,0.2403421993815729,0,7,7.908440278593875,0.1956456248930588,4.492608974970078,0.605919334766161,4.3367817060577165,0.6221255430994309,4.5525719460027965,0.5996386083257209,0.006072874493927126,0.1153846153846154,social network,0.32627256180073216,1.0375008120916311
2,50.0,421,305,7.611648424299653,0.2375152273359131,0,8,7.779229938037875,0.21413414184047785,4.479939161609038,0.6072432331933737,4.296113447884428,0.6263278269988891,4.5525719460027965,0.5996386083257209,0.012145748987854251,0.1194331983805668,social network,0.35710532788802885,1.0445088396620898
2,152.0,456,19,8.753652568334179,0.056451937015944115,0,9,7.748489105053794,0.2184710592366997,4.545309704361217,0.6004006064482648,4.292674836930472,0.6266826272104888,4.5525719460027965,0.5996386083257209,0.016194331983805668,0.12753036437246965,social network,0.36433787985517313,1.0451005297345326
2,10.0,520,160,8.38333335083963,0.12295813041818188,0,10,7.704209505130353,0.22467908480207527,4.5162671563893015,0.6034442689457356,4.275655086267944,0.6284375680268004,4.5525719460027965,0.5996386083257209,0.010121457489878544,0.13157894736842105,social network,0.37469082491104483,1.0480271938818122
12,30.0,2077,628,8.1160726202192,0.13575527102004578,48,1,8.1160726202192,0.13575527102004578,4.0457272855772946,0.6440756635818057,4.0457272855772946,0.6440756635818057,4.10907735784528,0.6374510213749971,0.17647058823529413,0.17647058823529413,social network,0.212965806733227,1.010392394058008
