Rank,trajectory,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio
1,Random Trajectory of Alter,0.40309160940121097,0.42055982370554695,0.4117857814578514,0.7286406444210121,0.7383917309506837,0.7335471348145597,5.4612259503435485,5.6252345605599166,5.543509283403693,2.922711901795791,3.0334104922359977,2.9775798373938045,0.5175580117032564,0.5367469983644586,0.5272772116957933,1.0015392866717376,1.0026275503030706,1.0020861078042387
1,Real Trajectory of Alter,0.37441667052372735,0.5792018994141566,0.47488854369129646,0.6861975709696881,0.7863637736975932,0.7363401312065077,4.110739477182527,6.005542257804384,5.072436323477191,2.3992819977511335,3.493494050822111,2.9527637431361975,0.48945233328835264,0.7093981154578005,0.6014822889940087,1.0007982174577952,1.0102505236336219,1.0054794477777904
2,Random Trajectory of Alter,0.4640498005915692,0.481522961269003,0.4728264679161615,0.73077335867483,0.7403794146048923,0.7355671222041094,5.041524534479604,5.207043712285195,5.123363708994255,2.903539664621074,3.0116274710384032,2.957644052264156,0.5997940306883136,0.6175007107011626,0.6087394267627627,1.0050322374643836,1.0065944331146748,1.0058094095192822
2,Real Trajectory of Alter,0.438947961703103,0.632890105913757,0.5369341571999866,0.6905084667583332,0.7895202072926801,0.7403249393094666,3.7108290519640135,5.517905411441426,4.615440786901004,2.3683651327999256,3.4709035924931646,2.913497686688894,0.5887384676627357,0.7815207849639526,0.6883358504651695,1.0054324257020968,1.018255287172851,1.0117012212076277
3,Random Trajectory of Alter,0.5001570248714825,0.5183027243317039,0.5093913994536937,0.7342134733327232,0.743668497286487,0.7389382425269339,4.766773072110577,4.9376051269412935,4.852474365135875,2.871431863506327,2.9806155631175693,2.9253305788954655,0.648945065329843,0.6659394588586263,0.6574897750474084,1.0097161550166507,1.0113240399704104,1.0105270268504691
3,Real Trajectory of Alter,0.4669241752138381,0.6520872020432531,0.5605594892001328,0.6945709630701246,0.7929659000420495,0.7435074081064952,3.540352378359184,5.345745339166015,4.442933503859952,2.3505964618938386,3.4322998626730232,2.883917030686023,0.6324977265634075,0.8096762762885344,0.7235961192510705,1.0101171097118382,1.0231636328590545,1.0163665648116542
4,Random Trajectory of Alter,0.5218199440436561,0.5398864389948229,0.5309981491652735,0.7366740912573613,0.7463635237996871,0.7415240063928796,4.59871858905685,4.771645397039345,4.685408274661594,2.846971433918848,2.954466024215466,2.901022195871426,0.6779806320496536,0.6941844279040359,0.6860586024699283,1.0136763784831373,1.015392038694171,1.0145338951100196
4,Real Trajectory of Alter,0.4773743151969766,0.6624728763176422,0.5698847101008246,0.695494133887271,0.7937087892928072,0.7456217359011129,3.458085293366944,5.260717618073338,4.370847691865388,2.315700586074219,3.4079055796682813,2.863696376199705,0.6506580577198263,0.8174545243980902,0.7364106178690949,1.0129689676778315,1.0269722405630606,1.0196511352203856
5,Random Trajectory of Alter,0.534071723219933,0.5520589320610705,0.5429485559397768,0.7386111894658678,0.7480785650970473,0.7433330801517125,4.509000824819368,4.680829076264403,4.595142308913966,2.831418680398383,2.938254687241936,2.8846567862477848,0.6943124871754067,0.7103535282407676,0.7024127039038851,1.016383443020653,1.018083125371168,1.0172410198413426
5,Real Trajectory of Alter,0.4916072492343355,0.6734220080309394,0.5826280519579751,0.6986777246133703,0.79735708914017,0.7483687310500121,3.3908050781841013,5.174346081906094,4.269239883375996,2.2857480110799164,3.388400106678537,2.838458654962253,0.6698737441559907,0.8335105094005041,0.7546711530088,1.0165358864239102,1.0311447543498706,1.0236357367456737
