userid_x,userid_y,meetup,N_previous,n_prev_match,CE_alter,Pi_alter,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR
0,2.0,106,2098,1189,7.027791463330526,0.34249760377595106,1,7.027791463330526,0.34249760377595106,4.956037438214048,0.5720132970168519,4.956037438214048,0.5720132970168519,5.136027486253859,0.5533462292191736,0.2090032154340836,0.2090032154340836
0,30.0,51,2077,1074,7.273597742722726,0.31266882517858835,2,6.194829162636583,0.4389571578475867,4.932492266661507,0.5744396125444968,4.804010336661604,0.5876169308460405,5.136027486253859,0.5533462292191736,0.15594855305466238,0.3279742765273312
0,35.0,46,2089,750,8.11097858207581,0.20461821881672912,3,6.060899605255689,0.4538912187285505,5.037323839951018,0.563609177242054,4.7563895404524095,0.5924743039000082,5.136027486253859,0.5533462292191736,0.10289389067524116,0.3617363344051447
0,29.0,19,1783,569,8.48462310067751,0.15175354066927021,4,6.023009286534529,0.4580901405711622,5.083875849991782,0.5587768033917094,4.740740280113119,0.5940674164740354,5.136027486253859,0.5533462292191736,0.04019292604501608,0.37138263665594856
0,40.0,13,553,336,7.846641004725058,0.24000273953384046,5,5.972564883057467,0.4636627462594238,5.061098165289354,0.561143036133805,4.715723336466971,0.5966109650650009,5.136027486253859,0.5533462292191736,0.003215434083601286,0.37138263665594856
0,61.0,12,959,531,7.8947751932197265,0.2336611777514551,6,5.764220418696422,0.48647146353004,5.019395107992862,0.5654665047481356,4.675487931830664,0.6006935733627092,5.136027486253859,0.5533462292191736,0.04180064308681672,0.3858520900321543
0,42.0,11,620,293,8.13318729394314,0.2015785169563551,7,5.664171677190495,0.49730905018001614,5.039131421363564,0.5634218043559797,4.640814153333793,0.6042037226799974,5.136027486253859,0.5533462292191736,0.05144694533762058,0.40192926045016075
0,55.0,10,241,249,7.06871219624656,0.33758028625518327,8,5.5392884377422895,0.510734956948465,5.047846372152515,0.5625181177047295,4.610979290085415,0.6072180069067065,5.136027486253859,0.5533462292191736,0.02090032154340836,0.40836012861736337
0,1087.0,9,2100,526,8.812877051770975,0.10109902231371584,9,5.542171841667477,0.5104262253541052,5.076990711124548,0.5594924170714287,4.607512541227981,0.6075679010426434,5.136027486253859,0.5533462292191736,0.04662379421221865,0.41479099678456594
0,34.0,7,569,389,7.71322307850009,0.25736787336015726,10,5.502206763627251,0.5147001243846443,5.0246133386461,0.5649261383297433,4.5824006316619865,0.6101001810457585,5.136027486253859,0.5533462292191736,0.03054662379421222,0.4180064308681672
