userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,Pi_alters_ratio,Pi_ego_alters_ratio,a_Pi
2,13.0,1018,347,8.574081911248111,0.09048857096475987,2,1,8.574081911248111,0.09048857096475987,4.4868576692841176,0.6065204393747485,4.4868576692841176,0.6065204393747485,4.5525719460027965,0.5996386083257209,0.04048582995951417,0.04048582995951417,social network,0.15090517806619766,1.0114766310132075,0.5748220048062308
12,30.0,2077,628,8.1160726202192,0.13575527102004578,48,1,8.1160726202192,0.13575527102004578,4.0457272855772946,0.6440756635818057,4.0457272855772946,0.6440756635818057,4.10907735784528,0.6374510213749971,0.17647058823529413,0.17647058823529413,social network,0.212965806733227,1.010392394058008,0.5260417579482831
13,92.0,949,317,7.541789538582388,0.1803639837632728,17,1,7.541789538582388,0.1803639837632728,4.4898121771706565,0.5808293459159729,4.4898121771706565,0.5808293459159729,4.542817882673094,0.5748220048062308,0.0783132530120482,0.0783132530120482,social network,0.3137736242788278,1.0104507848682083,0.5717739465593589
21,25.0,1878,2211,5.292679507911872,0.5193741314523601,14,1,5.292679507911872,0.5193741314523601,2.9209993046704734,0.7617095162905149,2.9209993046704734,0.7617095162905149,2.9618410106586186,0.7578546874489334,0.048979591836734684,0.048979591836734684,social network,0.6853215267436835,1.0050865012850385,0.8023862983104934
29,1714.0,535,828,6.189212343905558,0.35306367668893385,31,1,6.189212343905558,0.35306367668893385,2.6350931130535953,0.7710413752674354,2.6350931130535953,0.7710413752674354,2.692848864625278,0.7651759640513952,0.07168458781362007,0.07168458781362007,social network,0.4614150120706344,1.0076654410117438,0.8221722397694771
30,0.0,2059,348,9.443567989742524,0.04323559873425367,51,1,9.443567989742524,0.04323559873425367,5.463250902037782,0.5347995633205971,5.463250902037782,0.5347995633205971,5.548880723698018,0.5260417579482831,0.12467866323907455,0.12467866323907455,social network,0.08219043085644981,1.0166484984128863,0.5533462292191736
41,1087.0,2100,1794,2.6039353412924315,0.7453545596712625,20,1,2.6039353412924315,0.7453545596712625,1.9426438188176531,0.8199406573572311,1.9426438188176531,0.8199406573572311,1.8995534838191312,0.8246135897826448,0.13076923076923078,0.13076923076923078,social network,0.9038834296530649,0.9943331852842185,0.8029542915930636
45,900.0,819,2111,4.810717432889711,0.5713675786492125,8,1,4.810717432889711,0.5713675786492125,3.2741753303835215,0.72777703387904,3.2741753303835215,0.72777703387904,3.5170941872461303,0.7040979390686279,0.024640657084188916,0.024640657084188916,social network,0.8114887815252101,1.0336303992619755,0.8334648998334827
49,27.0,671,626,7.1037922733643795,0.33297479689751713,29,1,7.1037922733643795,0.33297479689751713,5.053845808321567,0.5616840516566405,5.053845808321567,0.5616840516566405,5.232071517810862,0.5430747039772901,0.11774193548387095,0.11774193548387095,social network,0.6131289018967845,1.034266644244451,0.4585393073051463
52,1708.0,317,189,6.639682871632871,0.2340725167072505,32,1,6.639682871632871,0.2340725167072505,4.306029547390513,0.5658503116986545,4.306029547390513,0.5658503116986545,4.42164203027002,0.5513691853729585,0.20895522388059698,0.20895522388059698,social network,0.42452955826488303,1.0262639384097982,0.4692123126733899
67,985.0,234,222,7.021880210427447,0.29869438135699466,65,1,7.021880210427447,0.29869438135699466,3.5808731808355283,0.6927564859061531,3.5808731808355283,0.6927564859061531,3.651670926970336,0.6856103038887487,0.18202764976958524,0.18202764976958524,social network,0.43566203667420766,1.010423096002017,0.242158146911428
69,824.0,716,506,7.203012173036256,0.3401012893441524,301,1,7.203012173036256,0.3401012893441524,5.932472065790198,0.4814370602735623,5.932472065790198,0.4814370602735623,6.2915274159448416,0.44280657416353797,0.383879781420765,0.383879781420765,social network,0.768058355923473,1.0872400916427163,0.4564769631867314
75,68.0,372,2150,1.4259501927886715,0.860164321864122,10,1,1.4259501927886715,0.860164321864122,1.3022073570172137,0.8743374845629677,1.3022073570172137,0.8743374845629677,1.3903116437402885,0.8642757773642173,0.15151515151515152,0.15151515151515152,social network,0.9952428893557169,1.0116417785413765,0.8693449940044324
115,75.0,401,406,4.690827615671758,0.4307258962302698,10,1,4.690827615671758,0.4307258962302698,2.214878608004455,0.7772367489385916,2.214878608004455,0.7772367489385916,2.2853625967983042,0.7687195284178677,0.10869565217391304,0.10869565217391304,social network,0.5603160584677274,1.0110797504237385,0.8642757773642173
167,1087.0,2100,7978,2.28576682653165,0.7998896910139904,144,1,2.28576682653165,0.7998896910139904,1.2825942609539045,0.8970602618954499,1.2825942609539045,0.8970602618954499,1.2945174853675367,0.8959692597457667,0.04867256637168142,0.04867256637168142,social network,0.8927646594046775,1.0012176781042608,0.8029542915930636
189,101.0,387,267,7.055798705882291,0.2754378032503761,22,1,7.055798705882291,0.2754378032503761,5.039639299744264,0.528146063626055,5.039639299744264,0.528146063626055,5.2285715823547285,0.5063435652995646,0.10526315789473684,0.10526315789473684,social network,0.5439741355998485,1.0430587052362195,0.48192910427143304
