userid_x,userid_y,meetup,N_previous,n_prev_match,CE_alter,Pi_alter,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR
2,947.0,12,422,166,8.081936952360433,0.17007302388305756,1,8.081936952360433,0.17007302388305756,4.516641755718021,0.6034050480844939,4.516641755718021,0.6034050480844939,4.552571946002797,0.5996386083257209,0.004048582995951417,0.004048582995951417
2,969.0,11,1414,356,8.94795270211606,0.003193377143262209,2,8.64234418353343,0.07808314868923877,4.513332593053885,0.6037514865735994,4.482988339078196,0.606924718664728,4.552571946002797,0.5996386083257209,0.030364372469635626,0.032388663967611336
2,987.0,10,286,311,7.106875492073794,0.3046809282685228,3,8.189434215576618,0.15371812386150893,4.476691340590207,0.6075824273772856,4.423574502458755,0.6131195178990665,4.552571946002797,0.5996386083257209,0.004048582995951417,0.03441295546558704
2,86.0,10,407,313,7.54394261275906,0.2467907876993021,4,7.995693218635228,0.18290135186605855,4.480726727629783,0.6071609708448757,4.374593194203997,0.6182083660257464,4.552571946002797,0.5996386083257209,0.012145748987854251,0.044534412955465584
2,66.0,10,1585,397,8.939475438874677,0.00878922184767094,5,8.066583888663386,0.1723747169899637,4.503759575112719,0.6047532659065012,4.351195193642096,0.620633489378465,4.552571946002797,0.5996386083257209,0.030364372469635626,0.06072874493927125
2,1309.0,7,394,288,7.581770745303283,0.2416198452541633,6,7.945534745433273,0.19025474756050212,4.484295115075827,0.6067881943138852,4.314750291617116,0.6244034599437318,4.552571946002797,0.5996386083257209,0.018218623481781375,0.0708502024291498
2,41.0,7,554,313,7.931071644501347,0.19236130742781926,7,7.841184065317075,0.20532322821843352,4.480992314772989,0.607133228940328,4.279745052448259,0.6280160222685623,4.552571946002797,0.5996386083257209,0.024291497975708502,0.08704453441295547
2,900.0,7,847,323,8.429121352782117,0.11540173169747885,8,7.808051491922025,0.21004718083435656,4.493683261762146,0.6058070290935266,4.255558327885554,0.6305072635295965,4.552571946002797,0.5996386083257209,0.008097165991902834,0.09109311740890688
2,958.0,6,487,272,7.9035874915271345,0.1963480038807984,9,7.733024160905376,0.22064440021409074,4.487582905808675,0.6064446529843401,4.229793274058255,0.6331567291988742,4.552571946002797,0.5996386083257209,0.020242914979757085,0.10121457489878542
2,1500.0,6,577,294,8.04551832037061,0.17551984499002538,10,7.681340396777521,0.2278678939274453,4.488601655763089,0.606338188646832,4.206866612814975,0.6355105573194826,4.552571946002797,0.5996386083257209,0.02631578947368421,0.11336032388663968
2,39235.0,6,755,290,8.401484658200095,0.11997805621076962,11,7.679996424960134,0.2280549317821386,4.500852254634351,0.6050573803649788,4.192293432180053,0.637004914636057,4.552571946002797,0.5996386083257209,0.006072874493927126,0.11336032388663968
2,588.0,5,218,282,6.848138974257357,0.3375782460111489,12,7.6138488931974555,0.23721219705795737,4.483634801378758,0.6068571815176814,4.1677037751717005,0.6395231438155998,4.552571946002797,0.5996386083257209,0.0020242914979757085,0.11336032388663968
2,988.0,5,473,255,7.923142178266519,0.1935136962125176,13,7.57338411853115,0.24276873294617707,4.490334144206665,0.6061571187145727,4.149419373460225,0.6413930225323901,4.552571946002797,0.5996386083257209,0.018218623481781375,0.1194331983805668
