,userid_x,ego_info,LZ_entropy,Pi,CCE_alters,CCE_ego_alters,Pi_alters,Pi_ego_alters,CCE_alters_tr,CCE_ego_alters_tr,Pi_alters_tr,Pi_ego_alters_tr,CCE_alters_sr,CCE_ego_alters_sr,Pi_alters_sr,Pi_ego_alters_sr
0,00-a,6.357552004618084,3.9650209507318586,0.643259966531244,3.234649084121157,3.1256030080468,0.7195061472292696,0.7305447672070297,3.361728920494744,3.215685246046227,0.7065293622049873,0.7214322484333332,4.355894007421945,3.568350203752709,0.6007685730323684,0.6851709820502714
1,0046aki,4.392317422778761,2.5781151623489427,0.7470265882332833,2.7579231350985265,2.637896574953323,0.7257428832829909,0.7399945380927332,2.6903339586441644,2.598985263095789,0.7337901156071457,0.7445766508860642,3.663840994159351,2.615019409249091,0.6123121702019015,0.7426907628113549
2,01,7.6865005271832185,4.857714703064107,0.569149343604891,7.27030742469631,4.650057760891852,0.2871840364226427,0.5911180998827301,7.27896796730441,4.645940149270001,0.2860549364156281,0.5915506723081397,8.640229937874233,4.843634578202359,0.08524675494356912,0.5706485254399843
3,0403,6.918863237274595,4.9587970940351305,0.4853548114977795,4.549136424038345,4.379496379624822,0.5381369828012671,0.5594061203975399,4.658639001316843,4.422916490579509,0.5242295701466773,0.5539935627991349,,4.9587970940351305,,0.4853548114977795
4,062,4.523561956057013,2.261323759791876,0.7978185303376691,6.43253300405026,2.6558000237872084,0.2620737401174024,0.7558252893462929,6.343493281194492,2.6525760402361405,0.27654629497697497,0.7561748119625679,5.70981214806095,2.242385262851499,0.3735268481920608,0.7997950525268188
5,08,9.124121311829187,3.8424867936339755,0.7438462254511166,6.2950128308151285,3.504668262711205,0.5504947011673746,0.7689975867542485,6.439585465789048,3.5173145798751007,0.5385004749218275,0.7680627142914843,8.439242446621638,3.7222139332123527,0.3648179580063344,0.7528430544573723
6,1-2-punch,5.754887502163468,4.4068244161814984,0.4775430863680115,7.966600155824135,4.996846271906501,-0.20649497383427232,0.3809972197033185,7.81487259913915,4.9813468733192625,-0.18584834631632047,0.38365508622098704,,4.4068244161814984,,0.4775430863680115
7,12,6.6865005271832185,2.1073350234207875,0.8510194771915829,5.381858037602608,1.8927173282637917,0.5636434795853661,0.8679420593382314,5.494741923193982,1.8973575306247576,0.5527958262964511,0.8675790592414999,4.979381043346599,2.0038706268218327,0.6017900966950218,0.859211315960043
8,13,2.321928094887362,2.220957037866936,0.6517970234841438,3.982642169333426,3.8740975760796577,0.038766268124789234,0.05857091375806048,4.193784733925774,3.9727961769407467,0.002608001000179961,0.04051979167923466,,2.220957037866936,,0.6517970234841437
9,172,4.087462841250339,3.0796793746159112,0.6102245331337385,4.885127924751302,3.6079669683986233,0.24891814256233835,0.519185045154873,4.889505449551017,3.6058121410634567,0.2477747527818174,0.5195741326548808,,3.0796793746159112,,0.6102245331337385
