Included,alters_names,CCE_alters,CCE_ego_alters,Pi_alters,Pi_ego_alters,Pi_alters_ratio,Pi_ego_alters_ratio,userid,Pi_ego
1,'toby-daniels',7.991912815176303,6.546089562420115,0.13749239166589827,0.34681552239557134,0.4036957692964508,1.0182960483925911,hugh,0.34058417779684935
1,'kristen-vang',8.424030783730268,6.519350934916031,0.05647041608027934,0.35029081699312464,0.16580457860835404,1.028499971017635,hugh,0.34058417779684935
1,'john-hamilton',8.58491218101855,6.442116967665163,0.012833005553760575,0.36027393756990744,0.037679394376961245,1.0578117277802688,hugh,0.34058417779684935
1,'christine-huang',7.464923195215623,6.4457195580000075,0.22004022184989058,0.3598100674777288,0.6460670700361762,1.056449744099232,hugh,0.34058417779684935
1,'jordan-spak',8.287215533493782,6.565735162185114,0.08458455240312679,0.34425573747659827,0.24835138540575286,1.0107801827539356,hugh,0.34058417779684935
1,'meghan-keane',8.442162147333065,6.482887997189978,0.05242105741380716,0.3550140635535127,0.15391512827432377,1.042368044957363,hugh,0.34058417779684935
1,'chet-gulland',8.583287644737762,6.397764965487558,0.013518694809953317,0.36597059491877004,0.03969266833651007,1.0745378639904497,hugh,0.34058417779684935
1,'meg-robertson',7.931799810592357,6.581597221244062,0.14750008029761108,0.3421849492809059,0.43307966110390334,1.00470007589434,hugh,0.34058417779684935
1,'john-decicco',8.33099266474457,6.352646854655859,0.0759624095812462,0.37173924344947173,0.2230356385684952,1.0914753757915485,hugh,0.34058417779684935
1,'alli',8.426751323230741,6.429296314454797,0.055869261387480974,0.3619233228760252,0.16403950925989788,1.0626545402584853,hugh,0.34058417779684935
2,"'toby-daniels','kristen-vang'",8.180321196130254,6.473694769205186,0.1046212818103336,0.35620204337694417,0.3071818617268175,1.0458561101725945,hugh,0.34058417779684935
2,"'toby-daniels','john-hamilton'",8.32466164110317,6.397812194635039,0.07722746796390739,0.36596454249846444,0.2267500165846571,1.0745200932873455,hugh,0.34058417779684935
2,"'toby-daniels','christine-huang'",7.393986587547338,6.4028985987482,0.23045089978220487,0.365312548297007,0.6766341915027643,1.0726057524460444,hugh,0.34058417779684935
2,"'toby-daniels','jordan-spak'",8.021161428705664,6.5185669461448335,0.13254892975068405,0.3503925640621331,0.3891811140732041,1.0287987138120498,hugh,0.34058417779684935
2,"'toby-daniels','meghan-keane'",8.358016532463905,6.4553255745193905,0.07048536175978576,0.35857234580412634,0.2069543048527306,1.052815630261035,hugh,0.34058417779684935
2,"'toby-daniels','chet-gulland'",8.45310805342914,6.363489453966308,0.049923896960740115,0.3703553481503864,0.14658313631503625,1.0874120769382742,hugh,0.34058417779684935
2,"'toby-daniels','meg-robertson'",7.89383853766149,6.5344257045738825,0.15372273314705967,0.348332733585,0.4513501893759485,1.022750780257245,hugh,0.34058417779684935
2,"'toby-daniels','john-decicco'",8.194591659011659,6.312723561870655,0.10201654652148034,0.3768219138108348,0.2995340158823552,1.1063987653460532,hugh,0.34058417779684935
2,"'toby-daniels','alli'",8.346060720551586,6.402234318081438,0.07292448648407099,0.3653977175110001,0.2141158962691707,1.0728558204748766,hugh,0.34058417779684935
2,"'kristen-vang','john-hamilton'",8.296366411872153,6.379894363567379,0.08280545404754246,0.3682586251761846,0.24312771833145463,1.0812558221534365,hugh,0.34058417779684935
