userid_x,ego_info,LZ_entropy,Pi,CCE_alters,CCE_ego_alters,Pi_alters,Pi_ego_alters
00-a,6.357552004618084,3.9650209507318586,0.643259966531244,3.234649084121157,3.1256030080468,0.7195061472292696,0.7305447672070297
0046aki,4.392317422778761,2.5781151623489427,0.7470265882332833,2.7579231350985265,2.637896574953323,0.7257428832829909,0.7399945380927332
01,7.6865005271832185,4.857714703064107,0.569149343604891,7.27030742469631,4.650057760891852,0.2871840364226427,0.5911180998827301
0403,6.918863237274595,4.9587970940351305,0.4853548114977795,4.549136424038345,4.379496379624822,0.5381369828012671,0.5594061203975399
062,4.523561956057013,2.261323759791876,0.7978185303376691,6.43253300405026,2.6558000237872084,0.2620737401174024,0.7558252893462929
08,9.124121311829187,3.8424867936339755,0.7438462254511166,6.2950128308151285,3.504668262711205,0.5504947011673746,0.7689975867542485
1-2-punch,5.754887502163468,4.4068244161814984,0.4775430863680115,7.966600155824135,4.996846271906501,-0.20649497383427232,0.3809972197033185
12,6.6865005271832185,2.1073350234207875,0.8510194771915829,5.381858037602608,1.8927173282637917,0.5636434795853661,0.8679420593382314
13,2.321928094887362,2.220957037866936,0.6517970234841438,3.982642169333426,3.8740975760796577,0.038766268124789234,0.05857091375806048
172,4.087462841250339,3.0796793746159112,0.6102245331337385,4.885127924751302,3.6079669683986233,0.24891814256233835,0.519185045154873
1od,7.417852514885898,3.84477829100394,0.7038393166082259,6.3617714932791785,3.6540635144671567,0.4646596207660805,0.7206718234261168
26,8.184875342908283,2.982026926489936,0.8053113046829158,3.144935960772285,2.099907750372933,0.793383852414856,0.8681834478956604
29,5.044394119358453,1.7301683197923765,0.869322127224893,3.1620349380741732,1.6727286341515502,0.7394565706871236,0.8742209001817057
3,3.321928094887362,2.3645892043025296,0.673995058776533,5.931915202260018,2.426062237457264,-0.18628249634612445,0.6627580745216092
30,4.857980995127572,2.268580669901389,0.7803526253707131,10.31355776318789,2.9643754497011585,-0.4558331046290888,0.6972814608443472
337,5.954196310386875,4.230698274690834,0.5285704610004575,4.680541451631896,4.467661809184928,0.4627351664696178,0.4943476807369402
3373,4.807354922057604,2.194267687256543,0.8059794857363302,3.668530567244783,2.5536031785280144,0.6433599118618111,0.7683115700133701
344,5.426264754702098,3.3878372539073127,0.6524303112651598,3.543067463025124,3.332416979294388,0.6328125302712613,0.6593606817946545
357,2.0,1.5969925537438645,0.7904761513018399,2.427907807498858,2.3540362096625755,0.6372013453690349,0.6521341798895726
36_104k2,6.459431618637297,4.165145400172158,0.5927300532968495,5.024635933277716,4.0897904089809565,0.4861165989780075,0.6016996620244461
38,4.169925001442312,3.7944517247347513,0.37161256249600494,6.694845549757755,5.573485645795512,-0.2882459677784098,-0.1255443953071751
4,4.584962500721156,2.8240140451497613,0.7069252086654055,4.032523509140389,3.2282073127742903,0.5437146363687329,0.6547888323695633
4280,7.294620748891627,1.880479592070216,0.8762455763593513,1.6254709261960103,1.3956363874968196,0.8947459979802287,0.9111038263066612
456,5.700439718141092,3.8758207651531222,0.584839653180016,4.9439837044782475,4.2891131456166836,0.4328698302097866,0.5282660646402128
46,4.700439718141092,2.8630104715203677,0.6980254172577686,3.6720610280066657,3.3533772689100334,0.5888441408318935,0.6330677775348306
4sq-seoul,6.857980995127572,4.119787261793392,0.6260858943531245,4.342069121137538,3.758256174482572,0.6017579983574216,0.6648250017758655
4sqchicago,3.700439718141092,3.553531260587097,0.2652197926607629,5.833753094069809,5.808768343727599,-0.2402556019788223,-0.23680636250235804
