,userid_x,ego_info,LZ_entropy,Pi,CCE_alters_tr,CCE_ego_alters_tr,Pi_alters_tr,Pi_ego_alters_tr
0,00-a,6.357552004618084,3.9650209507318586,0.643259966531244,3.361728920494744,3.215685246046227,0.7065293622049873,0.7214322484333332
1,0046aki,4.392317422778761,2.5781151623489427,0.7470265882332833,2.6903339586441644,2.598985263095789,0.7337901156071457,0.7445766508860642
2,01,7.6865005271832185,4.857714703064107,0.569149343604891,7.27896796730441,4.645940149270001,0.2860549364156281,0.5915506723081397
3,0403,6.918863237274595,4.9587970940351305,0.4853548114977795,4.658639001316843,4.422916490579509,0.5242295701466773,0.5539935627991349
4,062,4.523561956057013,2.261323759791876,0.7978185303376691,6.343493281194492,2.6525760402361405,0.27654629497697497,0.7561748119625679
5,08,9.124121311829187,3.8424867936339755,0.7438462254511166,6.439585465789048,3.5173145798751007,0.5385004749218275,0.7680627142914843
6,1-2-punch,5.754887502163468,4.4068244161814984,0.4775430863680115,7.81487259913915,4.9813468733192625,-0.18584834631632047,0.38365508622098704
7,12,6.6865005271832185,2.1073350234207875,0.8510194771915829,5.494741923193982,1.8973575306247576,0.5527958262964511,0.8675790592414999
8,13,2.321928094887362,2.220957037866936,0.6517970234841438,4.193784733925774,3.9727961769407467,0.002608001000179961,0.04051979167923466
9,172,4.087462841250339,3.0796793746159112,0.6102245331337385,4.889505449551017,3.6058121410634567,0.2477747527818174,0.5195741326548808
10,1od,7.417852514885898,3.84477829100394,0.7038393166082259,6.2624733009560325,3.6846531393855955,0.4747434180826347,0.7179838392759976
11,26,8.184875342908283,2.982026926489936,0.8053113046829158,3.2292405289377655,2.1109300225227035,0.787174918519471,0.8674168756297699
12,29,5.044394119358453,1.7301683197923765,0.869322127224893,2.9497749174161134,1.6633234153246281,0.759591937673501,0.875020503041923
13,3,3.321928094887362,2.3645892043025296,0.673995058776533,5.931915202260018,2.426062237457264,-0.18628249634612445,0.6627580745216092
14,30,4.857980995127572,2.268580669901389,0.7803526253707131,10.31355776318789,2.9643754497011585,-0.4558331046290888,0.6972814608443472
15,337,5.954196310386875,4.230698274690834,0.5285704610004575,4.624126941378912,4.399534835569897,0.4711968356933518,0.5042873585869684
16,3373,4.807354922057604,2.194267687256543,0.8059794857363302,4.02655491633738,2.5776545351203017,0.6005846671561232,0.7657447729497229
17,344,5.426264754702098,3.3878372539073127,0.6524303112651598,3.625938587398972,3.396345220070345,0.6222132688363137,0.6513629753690408
18,357,2.0,1.5969925537438645,0.7904761513018399,2.743949543547384,2.613113277519211,0.5698830630680867,0.5984623296076604
19,36_104k2,6.459431618637297,4.165145400172158,0.5927300532968495,5.041923586951191,4.158576591057686,0.4838848703686787,0.5935142366888011
20,38,4.169925001442312,3.7944517247347513,0.37161256249600494,6.451733072373769,5.56988307753628,-0.25406015388328,-0.12499530789820128
21,4,4.584962500721156,2.8240140451497613,0.7069252086654055,4.068899426937859,3.2385434683128587,0.5384395502884959,0.6534247576739027
22,4280,7.294620748891627,1.880479592070216,0.8762455763593513,1.8260127641546335,1.4222335575699836,0.8802265190686513,0.9092271014333656
23,456,5.700439718141092,3.8758207651531222,0.584839653180016,4.779966400933878,4.284387922882093,0.4574985036930882,0.5289276301645217
